Subject,Condition,CorrectResponses
1,Literal,27
2,Literal,27
3,Literal,28
4,Literal,26
5,Literal,28
6,Literal,26
7,Literal,25
8,Literal,28
9,Literal,22
10,Literal,29
11,Literal,28
1,Anomalous,23
2,Anomalous,28
3,Anomalous,26
4,Anomalous,28
5,Anomalous,28
6,Anomalous,29
7,Anomalous,29
8,Anomalous,29
9,Anomalous,27
10,Anomalous,27
11,Anomalous,28
1,Metaphorical,27
2,Metaphorical,26
3,Metaphorical,21
4,Metaphorical,23
5,Metaphorical,24
6,Metaphorical,21
7,Metaphorical,23
8,Metaphorical,24
9,Metaphorical,17
10,Metaphorical,27
11,Metaphorical,27
