Subject,C,P
01,551,0.9183333333333333
02,390,0.65
03,335,0.5583333333333333
04,274,0.45666666666666667
05,487,0.8116666666666666
06,217,0.3616666666666667
07,563,0.9383333333333334
08,540,0.9
09,285,0.475
10,574,0.9566666666666667
11,582,0.97
12,307,0.5116666666666667
13,196,0.32666666666666666
16,496,0.8266666666666667
18,196,0.32666666666666666
19,503,0.8383333333333334
20,524,0.8733333333333333
22,438,0.73
23,149,0.24833333333333332
24,67,0.11166666666666666
25,552,0.92
26,384,0.64
27,396,0.66
28,541,0.9016666666666666
29,579,0.965
30,459,0.765
31,549,0.915
32,129,0.215
34,577,0.9616666666666667
35,345,0.575
36,479,0.7983333333333333
37,519,0.865
38,243,0.405
39,567,0.945
40,280,0.4666666666666667
41,557,0.9283333333333333
43,527,0.8783333333333333
44,576,0.96
45,500,0.8333333333333334
46,359,0.5983333333333334
47,597,0.995
48,497,0.8283333333333334
49,476,0.7933333333333333
50,397,0.6616666666666666
